Date,value
1870-05-01,-0.14
1870-06-01,-0.37
1870-07-01,-0.13
1870-08-01,0.05
1870-09-01,-0.49
1870-10-01,-0.7
1870-11-01,-0.88
1870-12-01,-0.94
1871-01-01,-0.44
1871-02-01,0.0
1871-03-01,-0.18
1871-04-01,-0.51
1871-05-01,-0.93
1871-06-01,-0.36
1871-07-01,-0.38
1871-08-01,-0.09
1871-09-01,-0.58
1871-10-01,-0.8
1871-11-01,-0.9
1871-12-01,-0.29
1872-01-01,-0.39
1872-02-01,-0.55
1872-03-01,-0.2
1872-04-01,-0.49
1872-05-01,-0.03
1872-06-01,-0.82
1872-07-01,-0.95
1872-08-01,-1.02
1872-09-01,-0.51
1872-10-01,-0.11
1872-11-01,-1.74
1872-12-01,-2.1
1873-01-01,-2.06
1873-02-01,-2.11
1873-03-01,-1.67
1873-04-01,-0.69
1873-05-01,-0.49
1873-06-01,-0.8
1873-07-01,-1.14
1873-08-01,-1.05
1873-09-01,-0.87
1873-10-01,-0.7
1873-11-01,-1.06
1873-12-01,-0.86
1874-01-01,-0.74
1874-02-01,-1.18
1874-03-01,-0.24
1874-04-01,0.16
1874-05-01,0.01
1874-06-01,-0.26
1874-07-01,-0.21
1874-08-01,0.31
1874-09-01,0.15
1874-10-01,-0.04
1874-11-01,-0.0
1874-12-01,-1.13
1875-01-01,-1.42
1875-02-01,-1.53
1875-03-01,-1.18
1875-04-01,-1.24
1875-05-01,-0.65
1875-06-01,-0.79
1875-07-01,-0.64
1875-08-01,-0.8
1875-09-01,-0.64
1875-10-01,-1.19
1875-11-01,-0.9
1875-12-01,0.11
1876-01-01,-0.96
1876-02-01,-0.74
1876-03-01,-0.91
1876-04-01,-1.53
1876-05-01,-1.57
1876-06-01,-0.82
1876-07-01,-2.21
1876-08-01,-2.16
1876-09-01,-1.48
1876-10-01,-0.4
1876-11-01,-0.04
1876-12-01,-0.24
1877-01-01,-0.13
1877-02-01,-0.08
1877-03-01,-0.08
1877-04-01,-0.68
1877-05-01,-0.82
1877-06-01,-1.18
1877-07-01,-0.37
1877-08-01,-0.62
1877-09-01,-0.24
1877-10-01,0.02
1877-11-01,0.46
1877-12-01,0.07
1878-01-01,0.18
1878-02-01,0.85
1878-03-01,0.96
1878-04-01,1.49
1878-05-01,1.48
1878-06-01,0.9
1878-07-01,0.46
1878-08-01,-0.63
1878-09-01,-1.97
1878-10-01,-1.68
1878-11-01,-0.51
1878-12-01,1.31
1879-01-01,0.2
1879-02-01,0.13
1879-03-01,0.23
1879-04-01,0.61
1879-05-01,-0.56
1879-06-01,-0.91
1879-07-01,-1.6
1879-08-01,-0.62
1879-09-01,-0.52
1879-10-01,-0.75
1879-11-01,-0.64
1879-12-01,-0.2
1880-01-01,0.44
1880-02-01,-0.45
1880-03-01,-1.51
1880-04-01,-2.42
1880-05-01,-2.97
1880-06-01,-3.15
1880-07-01,-2.27
1880-08-01,-1.79
1880-09-01,-1.77
1880-10-01,0.02
1880-11-01,-0.4
1880-12-01,-0.06
1881-01-01,-0.48
1881-02-01,-0.15
1881-03-01,-0.02
1881-04-01,0.17
1881-05-01,0.5
1881-06-01,0.24
1881-07-01,-1.3
1881-08-01,-2.31
1881-09-01,0.16
1881-10-01,0.34
1881-11-01,0.2
1881-12-01,-0.55
1882-01-01,-2.06
1882-02-01,-1.92
1882-03-01,-1.79
1882-04-01,-1.6
1882-05-01,-1.51
1882-06-01,-1.71
1882-07-01,-3.18
1882-08-01,-1.1
1882-09-01,-0.81
1882-10-01,-1.07
1882-11-01,-0.34
1882-12-01,0.66
1883-01-01,-0.97
1883-02-01,-1.32
1883-03-01,-1.4
1883-04-01,-0.32
1883-05-01,-0.67
1883-06-01,-1.25
1883-07-01,-2.82
1883-08-01,-2.36
1883-09-01,-1.75
1883-10-01,-1.47
1883-11-01,-1.07
1883-12-01,-1.67
1884-01-01,-1.77
1884-02-01,-1.95
1884-03-01,-1.42
1884-04-01,-0.53
1884-05-01,0.41
1884-06-01,0.84
1884-07-01,1.1
1884-08-01,1.0
1884-09-01,0.74
1884-10-01,1.08
1884-11-01,2.16
1884-12-01,2.35
1885-01-01,2.57
1885-02-01,1.02
1885-03-01,1.72
1885-04-01,1.47
1885-05-01,0.7
1885-06-01,-0.41
1885-07-01,-0.68
1885-08-01,-0.06
1885-09-01,-0.15
1885-10-01,-0.05
1885-11-01,-0.32
1885-12-01,-0.34
1886-01-01,-0.52
1886-02-01,0.62
1886-03-01,-0.48
1886-04-01,0.35
1886-05-01,-0.2
1886-06-01,-1.17
1886-07-01,-0.3
1886-08-01,-0.39
1886-09-01,-0.44
1886-10-01,-1.3
1886-11-01,-2.63
1886-12-01,-1.79
1887-01-01,-0.93
1887-02-01,-1.41
1887-03-01,-2.04
1887-04-01,-1.49
1887-05-01,-0.33
1887-06-01,0.69
1887-07-01,1.54
1887-08-01,-0.87
1887-09-01,-1.96
1887-10-01,-1.33
1887-11-01,-0.97
1887-12-01,-1.07
1888-01-01,-0.98
1888-02-01,-0.11
1888-03-01,0.1
1888-04-01,0.02
1888-05-01,1.48
1888-06-01,1.68
1888-07-01,1.78
1888-08-01,1.13
1888-09-01,1.04
1888-10-01,0.6
1888-11-01,0.76
1888-12-01,0.47
1889-01-01,0.44
1889-02-01,-0.01
1889-03-01,0.14
1889-04-01,0.88
1889-05-01,1.16
1889-06-01,1.12
1889-07-01,0.13
1889-08-01,-1.02
1889-09-01,-1.27
1889-10-01,-0.42
1889-11-01,1.34
1889-12-01,-0.16
1890-01-01,-0.66
1890-02-01,-1.09
1890-03-01,-1.49
1890-04-01,-1.1
1890-05-01,-1.34
1890-06-01,-3.41
1890-07-01,-1.4
1890-08-01,-0.99
1890-09-01,0.83
1890-10-01,-0.45
1890-11-01,-1.04
1890-12-01,-1.31
1891-01-01,-0.52
1891-02-01,-0.8
1891-03-01,-1.02
1891-04-01,-0.48
1891-05-01,0.87
1891-06-01,1.01
1891-07-01,1.13
1891-08-01,0.64
1891-09-01,0.3
1891-10-01,0.89
1891-11-01,0.03
1891-12-01,-0.18
1892-01-01,-1.15
1892-02-01,-1.42
1892-03-01,-0.96
1892-04-01,-1.32
1892-05-01,-2.76
1892-06-01,-1.94
1892-07-01,-1.65
1892-08-01,-2.85
1892-09-01,-2.46
1892-10-01,-2.82
1892-11-01,-2.36
1892-12-01,-1.13
1893-01-01,-0.51
1893-02-01,-0.67
1893-03-01,-0.93
1893-04-01,-1.6
1893-05-01,-2.45
1893-06-01,-2.13
1893-07-01,-2.14
1893-08-01,-0.41
1893-09-01,0.06
1893-10-01,-0.54
1893-11-01,-0.71
1893-12-01,-1.49
1894-01-01,-1.42
1894-02-01,-2.17
1894-03-01,-3.2
1894-04-01,-3.15
1894-05-01,-3.35
1894-06-01,-2.75
1894-07-01,-2.98
1894-08-01,-1.91
1894-09-01,-2.02
1894-10-01,-2.56
1894-11-01,-2.77
1894-12-01,-1.17
1895-01-01,-0.86
1895-02-01,-0.64
1895-03-01,-0.65
1895-04-01,-1.13
1895-05-01,-0.48
1895-06-01,-0.74
1895-07-01,0.43
1895-08-01,-0.16
1895-09-01,-1.34
1895-10-01,-0.84
1895-11-01,-1.23
1895-12-01,-0.27
1896-01-01,0.32
1896-02-01,0.2
1896-03-01,-0.17
1896-04-01,-0.91
1896-05-01,-1.32
1896-06-01,-0.68
1896-07-01,-0.32
1896-08-01,-0.18
1896-09-01,0.99
1896-10-01,0.26
1896-11-01,0.29
1896-12-01,0.21
1897-01-01,0.38
1897-02-01,-0.29
1897-03-01,-0.62
1897-04-01,-0.06
1897-05-01,0.67
1897-06-01,0.8
1897-07-01,0.57
1897-08-01,-0.0
1897-09-01,-0.7
1897-10-01,0.31
1897-11-01,0.58
1897-12-01,0.05
1898-01-01,-0.08
1898-02-01,-0.27
1898-03-01,-0.42
1898-04-01,0.21
1898-05-01,-0.39
1898-06-01,0.29
1898-07-01,-0.36
1898-08-01,0.43
1898-09-01,0.29
1898-10-01,0.27
1898-11-01,0.55
1898-12-01,0.6
1899-01-01,0.08
1899-02-01,-1.27
1899-03-01,-0.75
1899-04-01,-0.51
1899-05-01,-1.07
1899-06-01,-1.48
1899-07-01,-0.14
1899-08-01,0.32
1899-09-01,0.35
1899-10-01,-0.37
1899-11-01,0.3
1899-12-01,0.32
1900-01-01,0.81
1900-02-01,0.2
1900-03-01,0.61
1900-04-01,1.85
1900-05-01,1.49
1900-06-01,1.23
1900-07-01,1.07
1900-08-01,1.15
1900-09-01,-0.4
1900-10-01,0.08
1900-11-01,0.57
1900-12-01,1.02
1901-01-01,1.13
1901-02-01,0.65
1901-03-01,-0.33
1901-04-01,-0.45
1901-05-01,-0.99
1901-06-01,-0.84
1901-07-01,-1.33
1901-08-01,-0.73
1901-09-01,-0.07
1901-10-01,0.25
1901-11-01,-0.08
1901-12-01,0.56
1902-01-01,1.37
1902-02-01,0.53
1902-03-01,0.4
1902-04-01,0.64
1902-05-01,1.36
1902-06-01,2.33
1902-07-01,3.04
1902-08-01,1.81
1902-09-01,0.89
1902-10-01,1.11
1902-11-01,0.74
1902-12-01,0.44
1903-01-01,-0.04
1903-02-01,0.1
1903-03-01,-0.19
1903-04-01,-1.08
1903-05-01,-0.37
1903-06-01,0.04
1903-07-01,1.49
1903-08-01,1.35
1903-09-01,0.54
1903-10-01,0.72
1903-11-01,0.22
1903-12-01,0.6
1904-01-01,1.41
1904-02-01,0.54
1904-03-01,0.72
1904-04-01,0.07
1904-05-01,0.47
1904-06-01,-0.07
1904-07-01,0.05
1904-08-01,1.64
1904-09-01,2.24
1904-10-01,1.8
1904-11-01,1.93
1904-12-01,3.12
1905-01-01,2.75
1905-02-01,1.71
1905-03-01,1.04
1905-04-01,2.05
1905-05-01,1.31
1905-06-01,1.56
1905-07-01,2.31
1905-08-01,2.41
1905-09-01,2.1
1905-10-01,-0.41
1905-11-01,0.74
1905-12-01,-0.98
1906-01-01,1.36
1906-02-01,1.26
1906-03-01,0.5
1906-04-01,0.43
1906-05-01,1.45
1906-06-01,0.93
1906-07-01,1.35
1906-08-01,0.94
1906-09-01,0.11
1906-10-01,0.94
1906-11-01,0.89
1906-12-01,-0.43
1907-01-01,-0.68
1907-02-01,-0.36
1907-03-01,-1.88
1907-04-01,-1.58
1907-05-01,0.23
1907-06-01,0.96
1907-07-01,0.59
1907-08-01,-0.31
1907-09-01,0.78
1907-10-01,1.84
1907-11-01,1.77
1907-12-01,1.94
1908-01-01,1.72
1908-02-01,1.67
1908-03-01,0.51
1908-04-01,-0.08
1908-05-01,0.16
1908-06-01,0.21
1908-07-01,0.42
1908-08-01,-0.72
1908-09-01,0.71
1908-10-01,0.94
1908-11-01,1.88
1908-12-01,1.34
1909-01-01,0.69
1909-02-01,0.86
1909-03-01,0.93
1909-04-01,0.28
1909-05-01,-0.17
1909-06-01,-0.65
1909-07-01,-1.39
1909-08-01,-2.3
1909-09-01,-1.97
1909-10-01,-1.25
1909-11-01,-1.36
1909-12-01,-2.21
1910-01-01,-1.71
1910-02-01,-1.23
1910-03-01,-0.9
1910-04-01,-1.97
1910-05-01,-2.33
1910-06-01,-0.35
1910-07-01,-0.08
1910-08-01,-0.73
1910-09-01,0.73
1910-10-01,-0.96
1910-11-01,-0.59
1910-12-01,0.39
1911-01-01,-0.3
1911-02-01,-1.21
1911-03-01,-1.26
1911-04-01,-0.56
1911-05-01,-0.71
1911-06-01,-1.51
1911-07-01,-0.38
1911-08-01,0.08
1911-09-01,-0.26
1911-10-01,-0.12
1911-11-01,-0.38
1911-12-01,-0.97
1912-01-01,-0.21
1912-02-01,-0.02
1912-03-01,-0.44
1912-04-01,-0.51
1912-05-01,-0.04
1912-06-01,0.45
1912-07-01,0.26
1912-08-01,0.34
1912-09-01,1.23
1912-10-01,0.82
1912-11-01,0.05
1912-12-01,0.06
1913-01-01,-0.25
1913-02-01,0.11
1913-03-01,-0.23
1913-04-01,-0.85
1913-05-01,0.1
1913-06-01,0.32
1913-07-01,0.9
1913-08-01,1.12
1913-09-01,0.76
1913-10-01,0.4
1913-11-01,0.44
1913-12-01,0.11
1914-01-01,-0.28
1914-02-01,-0.3
1914-03-01,0.04
1914-04-01,0.82
1914-05-01,0.47
1914-06-01,-0.83
1914-07-01,-1.01
1914-08-01,-0.97
1914-09-01,-1.17
1914-10-01,-0.74
1914-11-01,-0.35
1914-12-01,-0.07
1915-01-01,-0.42
1915-02-01,-0.53
1915-03-01,0.35
1915-04-01,1.26
1915-05-01,1.54
1915-06-01,1.53
1915-07-01,1.24
1915-08-01,0.5
1915-09-01,-0.08
1915-10-01,-1.51
1915-11-01,-1.45
1915-12-01,-0.82
1916-01-01,-1.56
1916-02-01,-1.55
1916-03-01,-1.3
1916-04-01,-0.59
1916-05-01,-0.49
1916-06-01,-1.69
1916-07-01,-1.68
1916-08-01,-2.24
1916-09-01,-2.05
1916-10-01,-1.82
1916-11-01,-2.48
1916-12-01,-2.44
1917-01-01,-1.71
1917-02-01,-1.73
1917-03-01,-1.94
1917-04-01,-1.78
1917-05-01,-1.19
1917-06-01,-1.06
1917-07-01,-0.9
1917-08-01,-0.75
1917-09-01,-1.15
1917-10-01,-1.42
1917-11-01,-0.74
1917-12-01,-0.52
1918-01-01,0.42
1918-02-01,-0.13
1918-03-01,-0.94
1918-04-01,-0.85
1918-05-01,-1.07
1918-06-01,-0.57
1918-07-01,-0.0
1918-08-01,0.22
1918-09-01,0.41
1918-10-01,1.31
1918-11-01,1.33
1918-12-01,0.55
1919-01-01,0.47
1919-02-01,-0.05
1919-03-01,-0.64
1919-04-01,-0.63
1919-05-01,-1.05
1919-06-01,-1.53
1919-07-01,-1.87
1919-08-01,-0.92
1919-09-01,-0.31
1919-10-01,-0.6
1919-11-01,-0.77
1919-12-01,-0.39
1920-01-01,-1.08
1920-02-01,-0.77
1920-03-01,-0.9
1920-04-01,-1.33
1920-05-01,-1.24
1920-06-01,-1.28
1920-07-01,-1.59
1920-08-01,-2.26
1920-09-01,-2.19
1920-10-01,-1.79
1920-11-01,-0.8
1920-12-01,-0.69
1921-01-01,-1.09
1921-02-01,-1.55
1921-03-01,-0.85
1921-04-01,-1.63
1921-05-01,-1.5
1921-06-01,-1.05
1921-07-01,-1.58
1921-08-01,-2.01
1921-09-01,-1.5
1921-10-01,-1.58
1921-11-01,-0.81
1921-12-01,0.0
1922-01-01,0.07
1922-02-01,-1.26
1922-03-01,-1.63
1922-04-01,-1.81
1922-05-01,-1.89
1922-06-01,-1.27
1922-07-01,-0.74
1922-08-01,-0.56
1922-09-01,-0.49
1922-10-01,-0.27
1922-11-01,-0.74
1922-12-01,0.46
1923-01-01,0.24
1923-02-01,-0.75
1923-03-01,-1.01
1923-04-01,-0.51
1923-05-01,0.18
1923-06-01,-0.98
1923-07-01,0.6
1923-08-01,0.21
1923-09-01,-0.25
1923-10-01,0.26
1923-11-01,-0.26
1923-12-01,-0.22
1924-01-01,-0.7
1924-02-01,-0.67
1924-03-01,-0.47
1924-04-01,-1.23
1924-05-01,-0.53
1924-06-01,-0.39
1924-07-01,-1.01
1924-08-01,-1.41
1924-09-01,-1.73
1924-10-01,-2.13
1924-11-01,-1.4
1924-12-01,-0.27
1925-01-01,-0.93
1925-02-01,-0.62
1925-03-01,-0.65
1925-04-01,-1.14
1925-05-01,-0.51
1925-06-01,-1.03
1925-07-01,-0.69
1925-08-01,-0.72
1925-09-01,0.09
1925-10-01,0.26
1925-11-01,0.94
1925-12-01,0.72
1926-01-01,1.12
1926-02-01,1.26
1926-03-01,1.23
1926-04-01,1.81
1926-05-01,2.29
1926-06-01,1.63
1926-07-01,2.14
1926-08-01,1.7
1926-09-01,1.62
1926-10-01,1.79
1926-11-01,2.55
1926-12-01,2.11
1927-01-01,0.91
1927-02-01,1.33
1927-03-01,0.89
1927-04-01,-0.03
1927-05-01,-0.12
1927-06-01,0.56
1927-07-01,-0.28
1927-08-01,-0.76
1927-09-01,0.03
1927-10-01,-0.63
1927-11-01,-0.24
1927-12-01,-0.08
1928-01-01,0.45
1928-02-01,0.75
1928-03-01,0.88
1928-04-01,0.42
1928-05-01,0.48
1928-06-01,0.96
1928-07-01,-0.68
1928-08-01,-0.86
1928-09-01,-1.79
1928-10-01,-1.05
1928-11-01,0.09
1928-12-01,0.6
1929-01-01,0.83
1929-02-01,0.24
1929-03-01,0.04
1929-04-01,0.23
1929-05-01,0.48
1929-06-01,0.6
1929-07-01,0.03
1929-08-01,-0.12
1929-09-01,1.01
1929-10-01,1.02
1929-11-01,0.64
1929-12-01,1.55
1930-01-01,1.29
1930-02-01,0.77
1930-03-01,0.3
1930-04-01,0.19
1930-05-01,0.1
1930-06-01,0.02
1930-07-01,-0.0
1930-08-01,-0.2
1930-09-01,0.33
1930-10-01,0.01
1930-11-01,-0.02
1930-12-01,0.84
1931-01-01,1.25
1931-02-01,1.18
1931-03-01,1.14
1931-04-01,1.61
1931-05-01,2.0
1931-06-01,1.76
1931-07-01,2.08
1931-08-01,0.74
1931-09-01,0.85
1931-10-01,0.09
1931-11-01,-0.21
1931-12-01,-0.84
1932-01-01,-1.22
1932-02-01,-1.63
1932-03-01,-0.65
1932-04-01,0.49
1932-05-01,-0.03
1932-06-01,-0.15
1932-07-01,-0.23
1932-08-01,-0.29
1932-09-01,-1.14
1932-10-01,-0.02
1932-11-01,-0.32
1932-12-01,0.16
1933-01-01,-0.7
1933-02-01,-1.08
1933-03-01,-1.05
1933-04-01,-0.84
1933-05-01,-1.83
1933-06-01,-2.36
1933-07-01,-3.32
1933-08-01,-2.92
1933-09-01,-2.97
1933-10-01,-1.83
1933-11-01,-0.49
1933-12-01,-0.66
1934-01-01,-0.41
1934-02-01,0.1
1934-03-01,0.88
1934-04-01,1.26
1934-05-01,0.79
1934-06-01,-0.27
1934-07-01,0.18
1934-08-01,1.23
1934-09-01,1.13
1934-10-01,1.91
1934-11-01,1.64
1934-12-01,1.51
1935-01-01,0.72
1935-02-01,0.11
1935-03-01,-0.26
1935-04-01,0.1
1935-05-01,0.73
1935-06-01,1.23
1935-07-01,0.62
1935-08-01,0.35
1935-09-01,0.42
1935-10-01,0.4
1935-11-01,0.23
1935-12-01,1.53
1936-01-01,2.17
1936-02-01,1.6
1936-03-01,1.19
1936-04-01,1.19
1936-05-01,1.64
1936-06-01,2.24
1936-07-01,2.79
1936-08-01,1.95
1936-09-01,0.98
1936-10-01,2.15
1936-11-01,2.83
1936-12-01,1.52
1937-01-01,0.06
1937-02-01,-0.45
1937-03-01,-0.28
1937-04-01,-0.69
1937-05-01,-0.39
1937-06-01,1.16
1937-07-01,-0.32
1937-08-01,-0.98
1937-09-01,0.01
1937-10-01,0.52
1937-11-01,0.97
1937-12-01,1.06
1938-01-01,1.53
1938-02-01,0.28
1938-03-01,-0.45
1938-04-01,-0.22
1938-05-01,-0.59
1938-06-01,-0.62
1938-07-01,-0.63
1938-08-01,-0.57
1938-09-01,-0.26
1938-10-01,0.78
1938-11-01,0.04
1938-12-01,1.14
1939-01-01,1.17
1939-02-01,-0.1
1939-03-01,-0.63
1939-04-01,0.03
1939-05-01,0.12
1939-06-01,-0.07
1939-07-01,-1.1
1939-08-01,-1.31
1939-09-01,-1.54
1939-10-01,-1.49
1939-11-01,-0.9
1939-12-01,1.44
1940-01-01,1.82
1940-02-01,1.55
1940-03-01,1.87
1940-04-01,2.06
1940-05-01,1.76
1940-06-01,2.07
1940-07-01,1.82
1940-08-01,1.31
1940-09-01,1.09
1940-10-01,1.28
1940-11-01,1.55
1940-12-01,2.68
1941-01-01,2.67
1941-02-01,2.86
1941-03-01,2.43
1941-04-01,2.31
1941-05-01,2.07
1941-06-01,2.83
1941-07-01,3.01
1941-08-01,3.22
1941-09-01,2.04
1941-10-01,1.14
1941-11-01,1.51
1941-12-01,2.21
1942-01-01,2.48
1942-02-01,1.96
1942-03-01,1.11
1942-04-01,0.97
1942-05-01,0.53
1942-06-01,0.77
1942-07-01,0.58
1942-08-01,0.6
1942-09-01,0.37
1942-10-01,0.23
1942-11-01,-0.13
1942-12-01,-0.93
1943-01-01,-1.62
1943-02-01,-0.7
1943-03-01,0.32
1943-04-01,1.28
1943-05-01,0.58
1943-06-01,-0.14
1943-07-01,-0.22
1943-08-01,-1.88
1943-09-01,-1.61
1943-10-01,-1.48
1943-11-01,-0.18
1943-12-01,1.98
1944-01-01,1.58
1944-02-01,0.25
1944-03-01,-0.53
1944-04-01,-0.87
1944-05-01,-1.76
1944-06-01,-2.1
1944-07-01,-1.49
1944-08-01,-1.0
1944-09-01,-1.94
1944-10-01,-1.5
1944-11-01,-0.81
1944-12-01,-0.48
1945-01-01,-0.09
1945-02-01,-0.34
1945-03-01,-0.06
1945-04-01,-0.37
1945-05-01,-0.38
1945-06-01,0.16
1945-07-01,0.31
1945-08-01,-0.61
1945-09-01,-0.57
1945-10-01,-0.42
1945-11-01,-1.34
1945-12-01,-1.99
1946-01-01,-1.1
1946-02-01,0.67
1946-03-01,0.73
1946-04-01,0.67
1946-05-01,-0.45
1946-06-01,-0.63
1946-07-01,-0.07
1946-08-01,-0.17
1946-09-01,-0.15
1946-10-01,-1.23
1946-11-01,-1.82
1946-12-01,-1.66
1947-01-01,-0.15
1947-02-01,0.22
1947-03-01,0.31
1947-04-01,0.1
1947-05-01,-0.36
1947-06-01,0.67
1947-07-01,0.78
1947-08-01,0.61
1947-09-01,0.4
1947-10-01,1.39
1947-11-01,0.61
1947-12-01,0.43
1948-01-01,0.27
1948-02-01,-0.32
1948-03-01,-1.11
1948-04-01,-1.13
1948-05-01,-1.78
1948-06-01,0.01
1948-07-01,-0.1
1948-08-01,-1.07
1948-09-01,-1.07
1948-10-01,-1.74
1948-11-01,-0.92
1948-12-01,-1.85
1949-01-01,-2.82
1949-02-01,-3.17
1949-03-01,-1.82
1949-04-01,-1.54
1949-05-01,-1.37
1949-06-01,-1.21
1949-07-01,-1.48
1949-08-01,-1.61
1949-09-01,-1.6
1949-10-01,-2.29
1949-11-01,-1.08
1949-12-01,-0.93
1950-01-01,-1.61
1950-02-01,-2.17
1950-03-01,-1.89
1950-04-01,-1.99
1950-05-01,-3.19
1950-06-01,-2.52
1950-07-01,-3.65
1950-08-01,-2.98
1950-09-01,-2.4
1950-10-01,-1.92
1950-11-01,-1.45
1950-12-01,-1.06
1951-01-01,-1.19
1951-02-01,-1.52
1951-03-01,-1.72
1951-04-01,-1.35
1951-05-01,-1.29
1951-06-01,-1.77
1951-07-01,-0.23
1951-08-01,-1.76
1951-09-01,-0.78
1951-10-01,-0.09
1951-11-01,-0.31
1951-12-01,-1.45
1952-01-01,-2.19
1952-02-01,-1.35
1952-03-01,-1.67
1952-04-01,-1.92
1952-05-01,-2.07
1952-06-01,-2.13
1952-07-01,-2.05
1952-08-01,-1.58
1952-09-01,-1.36
1952-10-01,-0.91
1952-11-01,-0.53
1952-12-01,-0.83
1953-01-01,-0.16
1953-02-01,-0.46
1953-03-01,-1.27
1953-04-01,-0.9
1953-05-01,-0.55
1953-06-01,-0.2
1953-07-01,0.06
1953-08-01,-0.92
1953-09-01,-1.11
1953-10-01,-1.48
1953-11-01,-0.51
1953-12-01,-0.18
1954-01-01,-1.13
1954-02-01,-0.95
1954-03-01,-1.15
